2025-11-08 23:24:43 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 23:40:38 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 23:40:38 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 23:40:38 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 23:40:38 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 23:40:38 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 23:40:38 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 23:40:38 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 23:40:38 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 23:40:38 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
